web-scraper-order,web-scraper-start-url,playerpage,playerpage-href,name and birthday,batting,throwing,height,weight,affiliate,OFP p,realistic p,mlb eta p,Overall,mechanics,risk factor,mlb eta,OFP,realistic,primary position,secondary position,physical,Hit,Power,baserunning,glove,arm,hit score,power score,baserunning score,glove score,arm score
"1531175830-765","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Will Carter","https://legacy.baseballprospectus.com/prospects/eyewitness_pit.php?reportid=464","Will Carter

			Born: 01/18/1993 (Age: 23)","Bats: Left","Throws: Right","Height: 6' 3""","Weight: 195","Tampa Yankees (High A, Yankees)","45","40: Up-and-Down Reliever","2018","Carter has an interesting relief profile, with a solid two-pitch primary arsenal that generates a lot of ground balls. The command needs to take a step forward if he's going to develop into a regular bullpen contributor, as he has timing issues that keep the raw stuff playing down at present. He projects more likely as an up-and-down arm.



Control- 45/50

Command- 30/40","Ideal pitchers' body, filled-out, lacks remaining projection; full wind, tight, stiff and messy arm action, above-average arm speed, three-quarter slot; slight crossfire, command suffers due to timing issues with front side","55","Fastball","60","92-94","null","null","Ideal pitchers' body, filled-out, lacks remaining projection; full wind, tight, stiff and messy arm action, above-average arm speed, three-quarter slot; slight crossfire, command suffers due to timing issues with front side","null","50","30","null","null","55","40","30","null","null"
"1531175863-781","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Lewis Brinson","https://legacy.baseballprospectus.com/prospects/eyewitness_bat.php?reportid=262","Lewis Brinson
		Born: 05/08/1994 (Age: 21)","Bats: Right","Throws: Right","Height: 6' 3""","Weight: 195","null","null","null","null","Seeks out coaching and instruction, keeps a steady level on the field.","Elite athlete; high waist, long legs, lean muscle on limbs; supreme coordination, graceful movements, elite vertical leap;  looks to be a few (good) pounds north of listed 170; chest and shoulders can add a few more pounds of muscle mass.","Moderate/H","2017","60","55","Primary Position: CF","null","Elite athlete; high waist, long legs, lean muscle on limbs; supreme coordination, graceful movements, elite vertical leap;  looks to be a few (good) pounds north of listed 170; chest and shoulders can add a few more pounds of muscle mass.","Upright, even stance, high hands with modest wrap, strong forearms and wrists; minimal load, minor hitch with hands moving up as weight shifts, inconsistent launch point; can take steep angles into the zone, below-average barrel control; hands stay back consistently, generates separation; modest leg kick; plus bat speed with mild leverage, line drive stroke but will sell out and look to lift and drive in fastball counts; below-average track and recognition, loses his balance to the front side, vulnerable to soft stuff; lacks two-strike approach.","Raw pushes 60; plus bat speed, mild leverage, produces line drives with carry to the gaps and straight away; will sell out to the pull side in fastball counts, poor barrel control compromises power utility when he does.","4.12 from the right side; well above-average start-up, gets to top speed quickly; graceful runner, glides through the outfield; usable speed plays down at present on the bases; inconsistent crossover on stolen base breaks, raw reads off pitchers and contact.","Outstanding track and close defender; instinctual reads off the bat, conviction in his first step, advanced anticipation; plus routes with ability to discern trajectory; long strides, double-plus closing speed; will drift on balls over his head.","Plus arm strength, easy carry; low-effort throwing motion; inconsistent footwork can compromise accuracy, but correctable.","40","50","65","70","60"
"1531175815-758","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Lindsey Caughel","https://legacy.baseballprospectus.com/prospects/eyewitness_pit.php?reportid=147","Lindsey Caughel

			Born: 08/13/1990 (Age: 23)","Bats: Right","Throws: Right","Height: 6' 3""","Weight: 205","Rancho Cucamonga Quakes (, Dodgers)","30","Organizational depth","2018","Caughel can pitch a little bit, with a fastball that is slighly below average to fringe average and solid control. The command needs refinement, though. His secondaries need some work to become playable at the big league level (or even Double-A). I can see Caughel slowly working his way up the the chain and eventually reaching Triple-A in a few seasons, but I don't see a playable rotation arm here. Good org. depth in case of injury.","Athletic body; physically maxed out; easy, repeatable delivery; 3/4 arm slot; tucks plant leg into his body and drives to the plate; quick to the plate; 1.22-1.26 with a runner on first.","40","FB","45","88-91","null","null","Athletic body; physically maxed out; easy, repeatable delivery; 3/4 arm slot; tucks plant leg into his body and drives to the plate; quick to the plate; 1.22-1.26 with a runner on first.","null","35","30","35","null","40","30","30","30","null"
"1531175962-828","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Josh Bell","https://legacy.baseballprospectus.com/prospects/eyewitness_bat.php?reportid=156","Josh Bell
		Born: 08/14/1992 (Age: 21)","Bats: Switch","Throws: Right","Height: 6' 4""","Weight: 235","null","null","null","null","Bell has two plus tools that will provide positional value due to being a Right Fielder. The swing is currently inconsistent but he shows ability to hit the ball to all fields and the barrel-to-ball ability is solid. The skills are still lagging in-game, but the raw tools are all there and he is showing some of them. The ball jumps off his bat when he makes contact, but he still needs to learn and grow as a hitter when it comes to situational hitting and his general approach at the plate. He has a decent eye, but there were a few AB where he did not have the most logical approach for the situation at hand. 



Overall, I like Bell and think there is enough talent to be a very talented Right Fielder. However, the swing still needs some refinement and he looks like a player that will need at least another year at the AA level.","Thicker build; mild room left for growth; should settle into a power body that looks like a major league power hitter; thick thighs and broad shoulders; looks like a RF.","Moderate","2016","60","50; Major League Regular","Primary Position: RF","null","Thicker build; mild room left for growth; should settle into a power body that looks like a major league power hitter; thick thighs and broad shoulders; looks like a RF.","Wide stance with slight front foot open; helps to keep him balanced and minimize noise from load; replicates stance from both sides of the plate; plus bat speed; ability to recognize spin is average; will get tied up on the really good stuff but can recognize the fringe to solid-average stuff; needs to cut back on the pre-swing noise from both sides; leaks into the actual swing sometimes and is complete unnecessary. 



LHH: swing is more natural; keeps balance better; feet are mostly fine; will occasionally fly open with his shoulder which causes him to put a slight loop in swing and slow down bat; gets under and is late on pitches when this occurs; hands can become noisy and shoulder is too noisy; swing has slight more lift and shows better ability to barrel pitches than as RHH.



RHH: swing has more noise; balance is an issue; jumps out of his shoes at times; hands move around too much; drops his shoulder more than as LHH; hands will drift and he sometimes will over-extend; same tools as from other side but swing is generally less refined and has further to go before seeing true in-game success.","Tick above plus raw power; hands explode through zone; has brute strength; plus bat speed and slight lift in swing make for a swing conducive to power; ball screams off his bat when barreled; he's going to hit the ball hard when he makes contact; ball carries off his bat well; power as LHH is more evident; shows power from both sides but as LHH has a cleaner natural swing and likely translates to more in-game success.","4.43 from home to first; decent second gear; takes a while to start his body into full motion; first gear is poor; not a high amount of initial agility; looks faster in OF than on the base path; might actually be an average runner right now; will settle in at fringe-average with slight growth and maturity as he gets older.","Adventurous; instincts are not terrific; reads are average; first step is delayed at times; feet can become sloppy or staggered; has trouble twisting body and moving laterally after balls behind him; shows some inconsistencies with footwork moving backwards; route running is a large aspect of this issue; routes are not clean and takes incorrect angles; footwork is clearly what is being worked on; practiced footwork in pre-game and was able to replicate and refine the issues there; need to see in-game now.","Cannon arm; shows ability to throw on a line from long distance in OF; made a line throw from the pole to 2B in excellent time; ball hovered off ground; good arm strength and accurate throws; easily enough arm for RF.","50","60","45","40","60"
"1531175658-684","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Andrew Edwards","https://legacy.baseballprospectus.com/prospects/eyewitness_pit.php?reportid=365","Andrew Edwards

			Born: 10/07/1991 (Age: 23)","Bats: Right","Throws: Right","Height: 6' 6""","Weight: 265","Omaha Storm Chasers (AAA, Royals)","50","Set up reliever","2016","Hitters have a tough time seeing the ball out of Edwards's hand, which allows him to miss plenty of bats with his plus-plus velocity. His slider isn't a knockout weapon yet, but it's a two-plane breaker that flashes plus and should miss plenty of right-handed bats at the next level. His changeup was a weak offering in my viewing, never threatening the strike zone, but his first two offerings are good enough to safely project a middle reliever, with late inning upside if his slider ticks up a grade. Could succeed in the big leagues right now.","Extremely strong frame; quick arm; high three-quarter arm slot; high-effort delivery on fastball; moderate head whack; falls towards first base line; slows arm down on offspeed; hides the ball well.","70","Fastball","70","96-97","null","null","Extremely strong frame; quick arm; high three-quarter arm slot; high-effort delivery on fastball; moderate head whack; falls towards first base line; slows arm down on offspeed; hides the ball well.","null","60","40","null","null","70","55","40","null","null"
"1531175162-455","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Jose Leclerc","https://legacy.baseballprospectus.com/prospects/eyewitness_pit.php?reportid=112","Jose Leclerc

			Born: 12/19/1993 (Age: 20)","Bats: Right","Throws: Right","Height: 6' 0""","Weight: 190","Myrtle Beach Pelicans (High A, Cubs)","55","50; Middle Reliever","2015","Leclerc flashed a two-pitch arsenal with two plus offerings. He also threw what looked like a CH, which came in 87 mph and displayed fringe fade and looked very firm. Leclerc could move fast through the system once he tightens up his command, considering his pitches and frame are just about maxed. If he cannot tighten the command, he could still prove to be a useful middle reliever, although inconsistent.","Short frame; thicker build; likely larger than listed; still looks athletic; solid extension on drive; plane is average; whip-like arm from natural 3/4th arm slot; slight hitch in delivery causes timing issues for hitters; exerted delivery.","55","FB","60","91-95","null","null","Short frame; thicker build; likely larger than listed; still looks athletic; solid extension on drive; plane is average; whip-like arm from natural 3/4th arm slot; slight hitch in delivery causes timing issues for hitters; exerted delivery.","null","60","null","null","null","55","55","null","null","null"
"1531175547-633","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Lucas Giolito","https://legacy.baseballprospectus.com/prospects/eyewitness_pit.php?reportid=520","Lucas Giolito

			Born: 07/14/1994 (Age: 22)","Bats: Right","Throws: Right","Height: 6' 6""","Weight: 245","Charlotte Knights (AAA, White Sox)","60","60; No. 3 Starter","2017","This new Giolito is still very, very good. He's just not a dominant stuff guy anymore, showing elite pitchability and getting outs by outsmarting hitters rather than overpowering them. He uses his two breaking balls to change the hitter's eye level, often pitching backward and starting hitters with breaking balls to get to the fastball later in the plate appearance. Sometimes became too predictable, with hitters taking big cuts on first pitch curves.



His fastball-curve-slider combination is major-league quality, with only consistency and command potentially holding him back. Whether or not his changeup will develop enough to get opposite-handed hitters out enough is an open question. There's also a question of whether or not getting his lower half more engaged might lead to more velocity, or if it would undo some of the command gains he's seen.



Giolito brings a maturity to the mound that is clearly evident as he works. He works methodically, setting hitters up with purpose pitches, to maximize the effectiveness of pitches later in the plate appearance. His margin for error is much lower than it once was, but he seems to have bridged that gap with a more cerebral approach. Right now Giolito is a likely mid-rotation starter, and at 23 years old there's reason to think he can still improve. The ceiling just isn't quite as high as it once was.","Big body; stands tall on mound; athletic build; above average arm speed; high-three-quarters slot; arm stab; long extension to plate; minimal activation of lower half; controlled, easy delivery; loses some balance out of stretch; moderate-high leg kick.","60","FA","70","92-94","null","null","Big body; stands tall on mound; athletic build; above average arm speed; high-three-quarters slot; arm stab; long extension to plate; minimal activation of lower half; controlled, easy delivery; loses some balance out of stretch; moderate-high leg kick.","null","70","60","50","null","60","60","50","40","null"
"1531174645-211","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Eddie Rosario","https://legacy.baseballprospectus.com/prospects/eyewitness_bat.php?reportid=124","Eddie Rosario
		Born: 09/28/1991 (Age: 22)","Bats: Left","Throws: Right","Height: 6' 1""","Weight: 180","null","null","null","null","Plays the game with confidence - almost too confident at times; can drift; would like to see more energy and consistent engagement.","Athletic build; loose, agile body; little bit more room to add weight; body to handle the rigors of playing everyday.","Moderate","2015","55","45/50; second-division player","Primary Position: 2B","Secondary Position: LF","Athletic build; loose, agile body; little bit more room to add weight; body to handle the rigors of playing everyday.","Quick bat; pretty swing; has life in his hands; above-average batspeed; fluid through the strike zone; aggressive with pitch selection; wide strike zone - will chase fastballs up; lets swing loose; creates leverage in stroke; questions on approach; looks to consistently pull; neglects outer third with eyes - leads to opening early and yanking head of the bat; carved ball lazily to opposite field; must develop gap-to-gap mindset to reach hitting potential; hitting ability is there.","Puts the ball in play with backspin; creates lift with swing; primarily pull-side power; can put a charge into offerings middle-in; ability to drive ball to all fields with proper mindset; 12-15 home run peak projection; high doubles potential","Slow out of box; timed 4.45-4.57 down the line - not digging or running overly hard; may swipe a base or two if engaged in this aspect of the game.","Choppy footwork around second base bag; ok hands; comes in on ball well; seems unsure of himself at times; average reactions/reads in the infield; needs work with pre-pitch anticipation; handled every chance his way in left field; was not tested by any plays; saw the ball off the bat quickly and was moving on contact.","Enough arm for right-side of the diamond; flashes strength when needs it; will play in either center or left field; won't be a weapon, but not one to be consistently taken advantage of.","55","50","45","45","50"
"1531174913-338","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Nigel Nootbaar","https://legacy.baseballprospectus.com/prospects/eyewitness_pit.php?reportid=179","Nigel Nootbaar

			Born: 03/24/1993 (Age: 21)","Bats: Right","Throws: Right","Height: 6' 0""","Weight: 180","Aberdeen IronBirds (Short Season, Orioles)","50","50; 7th Inning Reliever","2016","Nootbaar is an advanced college arm that should move quickly through the system. He flashes a plus FB and CB that both could use a slight refinement in command before he reaches his ceiling. There is minimal projection left here, but a slight tick of growth into his frame could bring a mild increase in velocity. 



Nootbaar does a solid job of keeping his FB low in the zone and picking off hitters with the hard CB offering. He should roll through the lower minors and face his first real challenges at the A+/AA levels. The one concern is the straight FB, which does get a slight improvement due to the deceptiveness and explosion of the offering. If he can refine the command, this is a RP that could help a big-league club in the next year or two.","Accurate size listing; slender frame; might be mild room to fill out more; high 3/4th arm slot; excellent arm speed; terrific extension from long arms; good plane; slight drive that could be more prominent in future; will drag arm across at times; creates some command issues; will fall off and open up sometimes; exerted delivery using mostly energy from upper half; 1.44-1.53 delivery times.","55","FB","60","90-94","null","null","Accurate size listing; slender frame; might be mild room to fill out more; high 3/4th arm slot; excellent arm speed; terrific extension from long arms; good plane; slight drive that could be more prominent in future; will drag arm across at times; creates some command issues; will fall off and open up sometimes; exerted delivery using mostly energy from upper half; 1.44-1.53 delivery times.","null","60","","null","null","55","55","","null","null"
"1531174404-103","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Fernando Tatis Jr.","https://legacy.baseballprospectus.com/prospects/eyewitness_bat.php?reportid=441","Fernando Tatis Jr.
		Born: 01/02/1999 (Age: 18)","Bats: Right","Throws: Right","Height: 6' 3""","Weight: 185","null","null","null","null","Tatis' age, raw physical tools, and bloodline make him an intriguing prospect. Needs to clean up the swing and improve the hit tool to play up to his ceiling. If he can stick at shortstop, the power profile plays up more than if he has to be moved to the outfield.","Tall, thin, long legs and narrow waist; projected added muscle and mass.","High","2021","55","45; Second-division Regular","Primary Position: SS","null","Tall, thin, long legs and narrow waist; projected added muscle and mass.","Tall, balanced stance, slight bat wrap which adds length to the swing, above-average bat speed, gets leverage with bat path, has some noise in swing, can get off balanced on secondary offerings, will expand the strike zone.","Raw power to all fields, leverage and above-average bat speed in swing, in-game limited by pitch recognition.","Average 4.10 from home to first on several clocks, smooth runner, has a second gear; will play down a grade as body matures.","Quick, soft hands, shows average range and mobility, will make unnecessary errors by trying to make spectacular play","Average arm strength and carry, accurate; would play up a notch if moved from shortstop","40","50","60","50","50"
"1531176127-906","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Domingo Acevedo","https://legacy.baseballprospectus.com/prospects/eyewitness_pit.php?reportid=405","Domingo Acevedo

			Born: 03/06/1994 (Age: 22)","Bats: Right","Throws: Right","Height: 6' 7""","Weight: 250","Tampa Yankees (High A, Yankees)","55","Role 5, Middle Reliever","2019","Acevedo has the size, projectability, a big arm, all of which are things I like to see out of young players. The Fastball is explosive and reports have had it touching higher in the past. The secondaries are coming along but needs more consistency from game-to-game in order to be a SP. In the bullpen his FB will really play up and you hope the breaking ball comes along with it. 



Command- 35/40

Control- 40/50","XL frame with a thin, wiry build, looks larger than listed weight of 190, perhaps closer to 200. Fair amount physical projection remaining. Pitches from a full windup with hands over head; legs and arms flail; lacks posture and balance; still able to repeat delivery; long arm action with above-average arm speed; three-quarters slot.","70","Fastball","80","95-96","null","null","XL frame with a thin, wiry build, looks larger than listed weight of 190, perhaps closer to 200. Fair amount physical projection remaining. Pitches from a full windup with hands over head; legs and arms flail; lacks posture and balance; still able to repeat delivery; long arm action with above-average arm speed; three-quarters slot.","null","50","40","null","null","70","40","30","null","null"
"1531174616-197","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Mario Sanchez","https://legacy.baseballprospectus.com/prospects/eyewitness_pit.php?reportid=261","Mario Sanchez

			Born: 10/31/1994 (Age: 20)","Bats: Right","Throws: Right","Height: 6' 1""","Weight: 166","Hagerstown Suns (Low A, Nationals)","40","30; Org Arm","2018","Sanchez lacks an above-average offering, but brings advanced pitchability and feel for his arsenal. I have seen Sanchez as a starter and reliever this season, and the stuff is a tick higher when in a one-inning stint. While he will not blow his fastball by anyone, he has potential for plus command and the curveball is routinely thrown for strikes. The risk is moderate due to his lack of experience verse stronger competition, but there is a chance that Sanchez's pitchability and command will work as a middle reliever or long-man out of the pen.","Build: Small frame; skinny shoulders/hips; maxed frame.



Mechanics: 3/4 arm slot; average arm speed; short and compact delivery; easy mechanics; slight leg kick with clean drive and landing; delivery times ~1.45","45","FB","45","87-89","null","null","Build: Small frame; skinny shoulders/hips; maxed frame.



Mechanics: 3/4 arm slot; average arm speed; short and compact delivery; easy mechanics; slight leg kick with clean drive and landing; delivery times ~1.45","null","50","40","null","null","45","50","30","null","null"
"1531176121-903","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Jose Adames","https://legacy.baseballprospectus.com/prospects/eyewitness_pit.php?reportid=211","Jose Adames

			Born: 01/17/1993 (Age: 21)","Bats: Right","Throws: Right","Height: 6' 2""","Weight: 165","Greensboro Grasshoppers (Low A, Marlins)","45","40: Up-and-down Reliever","2017","Adames has a lively arm, but lacks the command to be a consistent option in the rotation or bullpen. His CH is a well below-average offering that should likely keep him out of a rotation in the future. The FB is very explosive and generates two-way movement, so he should be able to consistently keep hitters off throughout the minors. 



Adames is high risk because the command is currently well below-average for the entire arsenal, and he will struggle to find consistency at the higher levels until he can find a secondary offering that he can fall back on from the FB.","Athletic and wiry build; projectable frame with room for growth; slightly lower than 3/4th arm slot; average plane; very quick arm; hips fly open and has trouble staying balanced; good extension and drive towards home; inconsistent release points and arm slots due to flying open and his front foot landing out of line towards home; will drag and drop his arm; very noticeable in final inning when he began to lose stamina; exerted delivery; delivery best for a high effort relief role; very quick to home with 1.19 - 1.41 delivery times.","50","FB","60","91-94","null","null","Athletic and wiry build; projectable frame with room for growth; slightly lower than 3/4th arm slot; average plane; very quick arm; hips fly open and has trouble staying balanced; good extension and drive towards home; inconsistent release points and arm slots due to flying open and his front foot landing out of line towards home; will drag and drop his arm; very noticeable in final inning when he began to lose stamina; exerted delivery; delivery best for a high effort relief role; very quick to home with 1.19 - 1.41 delivery times.","null","50","30","null","null","50","40","20","null","null"
"1531174687-231","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Victor Robles","https://legacy.baseballprospectus.com/prospects/eyewitness_bat.php?reportid=477","Victor Robles
		Born: 05/19/1997 (Age: 20)","Bats: Right","Throws: Right","Height: 6' 0""","Weight: 190","null","null","null","null","Plays very hard when he’s on the diamond, makes some mistakes due to aggressiveness.","Superb athleticism, muscular frame for his size, he's fantastic condition, some projection remaining.","Moderate","2019","70","60; First Division Player","Primary Position: CF","null","Superb athleticism, muscular frame for his size, he's fantastic condition, some projection remaining.","Plus bat speed; flashes plus bat control; quick to ball; ball jumps off bat; attacks pitches; can turn on high heat; see-ball, hit-ball type of player; doesn't get cheated; showed ability to keep weight back on breaking ball; flashed patience, but was often aggressive; approach should improve as he matures; projects to plus utility at maturity.","Above-average raw; considerable load and quick hands make for a powerful stroke; leverage and frame limits power tool; can still drive with above-average loft; premium doubles hitter; mid-teens game power a possibility.","Clocked 4:07; outstanding burst; keeps plus-plus speed around bases; potential elite base stealer.","Outstanding burst; elite athleticism allows for frequent flash plays; aggressive fielder, overshoots routes at times; should improve to elite levels as his feel matures.","Plus arm strength; has considerable carry; maintains arm strength on the move.","60","50","70","70","60"
